Borough,Latitude,Longitude
Albany Park,41.717189,-87.699098
Archer Heights,41.696598,-87.936453
Armour Square,41.892001,-87.665688
Ashburn,41.88531,-87.62213
Auburn Gresham,42.078163,-88.031678
Austin,41.568075,-87.769531
"Austin, Humboldt Park",41.568075,-87.769531
Avalon Park,41.88531,-87.62213
Avondale,41.977474,-87.776185
"Avondale, Irving Park",41.977474,-87.776185
Belmont Cragin,41.88531,-87.62213
Beverly,41.88531,-87.62213
Bridgeport,41.88531,-87.62213
Brighton Park,41.88531,-87.62213
Burnside,41.88531,-87.62213
Calumet Heights,41.88531,-87.62213
Chatham,41.88531,-87.62213
"Chatham, Roseland",41.88531,-87.62213
Chicago Lawn,41.756784,-87.593334
Clearing,41.88531,-87.62213
Douglas,41.88531,-87.62213
Dunning,41.88531,-87.62213
East Garfield Park,41.79375,-87.647518
East Side,42.034514,-87.723638
Edgewater,41.88531,-87.62213
Edison Park,41.88531,-87.62213
Englewood,41.88531,-87.62213
Forest Glen,41.725504,-87.616658
Fuller Park,41.88531,-87.62213
Gage Park,41.88531,-87.62213
Garfield Ridge,41.79375,-87.647518
Grand Boulevard,41.92283,-87.638832
Greater Grand Crossing,41.88531,-87.62213
Hegewisch,41.88531,-87.62213
Hermosa,41.88531,-87.62213
Humboldt Park,41.902891,-87.702425
Hyde Park,41.881518,-87.88568
Irving Park,41.953613,-87.731348
Jefferson Park,41.88531,-87.62213
Kenwood,41.88531,-87.62213
Lake View,41.887056,-87.756631
Lakeview,41.979174,-87.843958
Lincoln Park,41.917012,-87.636178
Lincoln Square,42.003933,-87.994238
Logan Square,41.997596,-88.087459
Lower West Side,41.88531,-87.62213
McKinley Park,41.88531,-87.62213
Montclare,41.88531,-87.62213
Morgan Park,41.88531,-87.62213
Mount Greenwood,41.88531,-87.62213
Near North Side,41.88531,-87.62213
Near South Side,41.88531,-87.62213
Near West Side,41.88531,-87.62213
New City,41.88531,-87.62213
North Center,41.88531,-87.62213
North Lawndale,41.92823,-87.719382
North Park,42.097329,-87.891911
Norwood Park,41.88531,-87.62213
O'Hare,41.88531,-87.62213
Oakland,41.88531,-87.62213
Portage Park,41.88531,-87.62213
Pullman,41.88531,-87.62213
Riverdale,41.88531,-87.62213
Rogers Park,41.88531,-87.62213
Roseland,41.88531,-87.62213
South Chicago,41.756784,-87.593334
South Deering,41.88531,-87.62213
South Lawndale,41.768296,-87.715295
South Shore,41.798166,-87.582242
The Loop,41.88531,-87.62213
Uptown,42.078918,-88.032763
Washington Heights,41.88309,-87.692198
Washington Park,41.828125,-87.832676
West Elsdon,41.793816,-87.713849
West Englewood,41.780689,-87.642713
West Garfield Park,41.793681,-87.652373
West Lawn,41.88531,-87.62213
West Pullman,41.88531,-87.62213
West Ridge,42.010058,-87.682287
West Town,41.88531,-87.62213
"West Town, Logan Square",41.88531,-87.62213
Woodlawn,41.650181,-87.698013
